3.87	7.8	2.74	4.49	11.99	22	0.38	2.0	77.1	62.6	4.26	0.50		1
3.78	7.5	2.89	4.61	11.94	23	0.64	2.0	75.8	61.4	4.16	0.50		1
3.73	8.2	3.08	4.77	12.00	21	0.45	1.8	74.3	60.3	4.09	0.51		1
3.86	8.0	2.57	4.33	11.82	18	0.32	1.9	78.3	63.4	4.12	0.49		1
4.02	7.7	2.40	4.22	12.01	20	0.29	2.0	80.0	64.9	4.18	0.51		1
3.97	8.4	2.76	4.57	12.25	23	0.30	2.1	77.5	62.7	4.20	0.53		-1
3.70	6.6	2.90	4.57	11.75	15	0.65	1.8	75.3	61.1	4.10	0.50		-1
3.80	7.3	2.67	4.40	11.77	15	0.39	2.0	77.3	62.6	4.24	0.51		-1
3.60	7.2	3.37	5.02	12.00	15	1.52	3.0	71.9	58.2	4.38	0.47		-1
3.59	6.7	3.38	5.03	11.99	21	0.90	2.5	71.8	58.1	4.46	0.48		-1
3.64	7.4	3.17	4.85	11.91	18	0.36	1.9	73.4	59.3	4.40	0.48		1
3.52	7.5	3.56	5.16	11.98	21	0.40	1.8	70.3	56.9	4.43	0.50		1
3.62	8.3	3.35	5.00	12.02	17	0.66	1.7	72.1	58.4	4.29	0.49		1
3.67	7.8	3.33	5.00	12.11	19	0.45	1.7	72.5	58.7	4.36	0.52		1
3.76	7.6	3.10	4.81	12.09	21	0.48	2.2	74.3	60.2	4.41	0.48		1
3.61	8.7	3.29	4.92	11.91	17	0.38	1.8	72.4	58.7	4.36	0.47		-1
3.63	7.2	3.34	4.99	12.02	19	1.03	1.7	72.2	58.5	4.38	0.48		-1
3.49	7.3	3.37	4.96	11.73	16	0.74	1.7	71.3	57.7	4.37	0.48		-1
3.71	7.6	3.10	4.80	11.99	18	1.00	1.9	74.1	60.0	4.59	0.47		-1
3.63	7.6	3.37	5.04	12.07	19	1.00	1.8	72.0	58.3	4.40	0.47		-1
3.67	7.5	3.34	5.00	12.11	23	0.54	1.9	72.4	58.7	4.41	0.48		1
3.51	7.0	3.66	5.27	12.08	18	0.60	2.1	69.7	56.4	4.37	0.49		1
3.69	7.8	3.15	4.84	11.99	19	0.79	1.9	73.7	59.7	4.40	0.47		1
4.03	7.1	2.30	4.91	11.95	19	0.79	2.3	80.7	65.3	4.48	0.47		1
3.60	7.4	3.29	4.95	11.93	19	0.44	2.1	72.4	58.6	4.41	0.47		1
3.56	7.4	3.31	4.94	11.84	17	0.90	1.8	72.0	58.3	4.42	0.47		-1
3.76	7.6	3.26	4.96	12.24	18	0.88	2.4	73.4	59.5	4.31	0.47		-1
3.55	7.9	3.27	4.88	11.77	19	0.67	2.0	72.2	58.5	4.43	0.47		-1
3.48	7.7	3.32	4.92	11.66	18	0.73	1.9	71.5	57.8	4.29	0.47		-1
3.48	7.6	3.36	4.94	11.70	20	0.67	1.8	71.3	57.8	4.29	0.47		-1
3.66	7.6	3.13	4.81	11.90	17	0.56	2.1	73.7	59.6	4.37	0.48		1
3.70	7.4	3.15	4.85	12.02	18	0.75	2.4	73.8	59.7	4.36	0.47		1
3.51	7.4	3.74	5.34	12.13	16	0.47	2.5	69.2	56.0	4.38	0.48		1
3.69	7.7	3.24	4.93	12.08	19	0.79	2.4	73.1	59.2	4.39	0.49		1
3.62	7.4	3.47	5.13	12.15	19	0.78	2.3	71.4	57.8	4.39	0.47		1
3.41	7.8	3.38	4.95	11.57	18	0.68	1.9	70.7	57.2	4.24	0.48		-1
3.53	7.6	3.14	4.76	11.62	21	0.80	1.8	73.0	59.0	4.36	0.49		-1
3.46	7.0	3.30	4.89	11.62	20	0.49	2.1	71.6	57.9	4.40	0.47		-1
3.60	7.8	3.69	5.32	12.29	16	0.49	1.8	70.0	56.2	4.24	0.46		-1
3.46	7.7	3.28	4.87	11.58	19	0.38	2.0	71.6	58.0	4.40	0.47		-1
3.53	7.8	3.37	4.99	11.84	18	0.59	2.3	71.5	57.9	4.32	0.48		1
3.59	7.9	3.47	5.12	12.07	18	0.62	2.3	71.2	57.6	4.42	0.49		1
3.62	8.1	3.25	4.91	11.93	19	0.68	2.4	72.7	58.9	4.40	0.48		1
3.72	7.6	3.16	4.85	12.00	21	0.71	2.4	73.7	59.6	4.38	0.49		1
3.63	8.2	3.24	4.89	11.93	22	0.75	2.4	72.8	59.0	4.45	0.49		1
3.43	7.1	3.28	4.86	11.52	22	0.49	1.9	71.5	57.8	4.26	0.47		-1
3.54	7.7	3.29	4.91	11.77	19	0.60	2.0	72.0	58.3	4.30	0.48		-1
3.49	7.3	3.14	4.74	11.52	19	0.34	1.7	72.7	58.9	4.32	0.48		-1
3.46	6.8	3.19	4.77	11.49	17	0.72	2.4	72.2	58.5	4.28	0.47		-1
